Year,Mn,Dy,Tyear,LAI_live+stdead,LAI_live,AGTotclip,AGlive,BGlive
1982.0,-999.9,-999.9,1.1,374.1,707.6,481.5,400.0,1590.0
1982.0,-999.9,-999.9,0.4,89.1,178.1,348.8,1000.0,1527.0
1982.0,-999.9,-999.9,0.17,104.3,318.9,103.1,530.0,952.0
1982.0,-999.9,-999.9,1.35,916.5,1393.9,961.9,1000.0,3355.0
